t,k,method,classifier,women_rejection_rate_target,women_rejection_rate_actual,dataset,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,geometric_mean,geometric_mean_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,true_positive_rate,true_positive_rate_std,false_positive_rate,false_positive_rate_std,true_negative_rate,true_negative_rate_std,false_negative_rate,false_negative_rate_std,spd,spd_std,disparate_impact,disparate_impact_std,eod,eod_std,equal_opportunity_ratio,equal_opportunity_ratio_std,false_positive_rate_difference,false_positive_rate_difference_std,predictive_equality,predictive_equality_std,true_negative_rate_difference,true_negative_rate_difference_std,true_negative_rate_parity,true_negative_rate_parity_std,false_negative_rate_difference,false_negative_rate_difference_std,false_negative_rate_parity,false_negative_rate_parity_std,accuracy_difference,accuracy_difference_std,accuracy_parity,accuracy_parity_std,aod,aod_std,average_odds_ratio,average_odds_ratio_std
,0,Baseline,LogReg,0.35161290322580646,0.35161290322580646,german_baseline,0.751,0.030561413579872278,0.6621428571428571,0.04155017729878043,0.6210209132083897,0.05605844421085429,0.7871803648922093,0.024823978302415457,0.8842857142857143,0.03077237032648288,0.832519154300873,0.02060579757814994,0.8842857142857143,0.03077237032648288,0.5599999999999999,0.08069145624606804,0.44000000000000006,0.08069145624606802,0.1157142857142857,0.03077237032648288,-0.10736503323850352,0.044017117370344264,0.8685590295509765,0.05452496168041114,-0.047025868440502626,0.07625525860767074,0.9473879182066218,0.08501152549926112,-0.15837145310829523,0.09987816814471724,0.7432467532467533,0.14313960269378792,0.1583714531082952,0.0998781681447173,1.4638828398492265,0.40521195058961257,0.04702586844050259,0.07625525860767074,1.4826250307957625,0.8169392296183018,-0.013692583014705417,0.07059284711369286,0.9824202381475848,0.09548663350963729,-0.10269866077439893,0.04366564475547497,0.8453173357266875,0.06516102112786919
,0,Baseline,XGBoost,0.35161290322580646,0.35161290322580646,german_baseline,0.756,0.02034698994937582,0.6866666666666668,0.013581867330430106,0.6641958406232087,0.010285429535700275,0.8047152441253896,0.004950866525481336,0.86,0.031493439550069405,0.831225433794262,0.01641897365863695,0.86,0.031493439550069405,0.4866666666666667,0.012472191289246468,0.5133333333333333,0.012472191289246475,0.13999999999999999,0.03149343955006943,-0.10703855929240065,0.0231330336052063,0.8625778901102826,0.030807090002128366,-0.09651786154225181,0.07556171547477479,0.8905303629050817,0.08463841294900491,-0.04395954922270713,0.08907293298588498,0.9248983339892431,0.15650406807370487,0.04395954922270713,0.08907293298588498,1.1050123685837971,0.20873891628269756,0.09651786154225181,0.07556171547477483,1.8159266208046696,0.7139254129367191,-0.07649402177278124,0.07459056960768772,0.902321443307922,0.09540334225670265,-0.07023870538247948,0.015930965672199638,0.9077143484471624,0.04106993370405539
,0,FairSmote,LogReg,0.35161290322580646,0.35161290322580646,german_baseline,0.713,0.03558089374931438,0.7121428571428572,0.02899878799562871,0.7098886280214554,0.02863635046091629,0.8531597359409412,0.0249116089338098,0.7142857142857143,0.06194138111051087,0.77564203014938,0.03534178459331806,0.7142857142857143,0.06194138111051087,0.29,0.06548960901462834,0.71,0.06548960901462832,0.2857142857142857,0.061941381110510854,-0.06060373046759102,0.06298737195544098,0.910454326281674,0.1083179483264771,0.010189948263118965,0.09091330660401234,1.0248055770482,0.14351196994694085,-0.10974814659025185,0.09021478794172735,0.6870129870129871,0.19699031515226367,0.10974814659025182,0.09021478794172734,1.177504486855136,0.16270896903180135,-0.010189948263118998,0.09091330660401237,0.9977771325332301,0.27660491583529084,0.04167453405525627,0.07410133504554177,1.0632016942448375,0.10957494388030856,-0.049779099163566445,0.057993872989675836,0.8559092820305937,0.09926151380410278
,0,FairSmote,XGBoost,0.35161290322580646,0.35161290322580646,german_baseline,0.7209999999999999,0.023748684174075853,0.6759523809523811,0.02026468841043159,0.6658829964387705,0.020812697736185007,0.8082453091636002,0.011643747526022263,0.7885714285714286,0.035742845723419424,0.7978994862425296,0.02031982715234114,0.7885714285714286,0.035742845723419424,0.43666666666666665,0.03399346342395189,0.5633333333333334,0.033993463423951875,0.21142857142857144,0.03574284572341944,-0.013002602450524958,0.036374694475153985,0.9808506984747674,0.054189754229182,0.010460458240946036,0.041989048143924915,1.013643273881619,0.054215591637478466,0.01920009814746656,0.06692526521784281,1.0435026737967914,0.15196228560530953,-0.019200098147466604,0.06692526521784282,0.9655048508803448,0.11965798295721593,-0.010460458240946041,0.041989048143924915,0.9554344842149721,0.18743692188125124,-0.016516301873549754,0.03580707855140961,0.9779627833949813,0.04925396253873699,0.014830278194206297,0.04195809512797196,1.0285729738392053,0.08466549190313721
,0,Massaging,LogReg,0.35161290322580646,0.35161290322580646,german_baseline,0.7489999999999999,0.028000000000000025,0.6730952380952381,0.042655610812492736,0.6426842786374578,0.05777430547572973,0.7967993099482461,0.027213007598530514,0.8628571428571428,0.02687841103175253,0.8280251700958535,0.018038377491731504,0.8628571428571428,0.02687841103175253,0.5166666666666666,0.08881941729649484,0.4833333333333334,0.08881941729649487,0.13714285714285712,0.026878411031752543,-0.019964637943681397,0.04989682384364483,0.9750702453464678,0.06378066219540852,0.01095319044099532,0.052539105616073174,1.0131339576048588,0.06058726147554757,-0.004067861962598773,0.11811837996719018,1.0067159169333082,0.1956451095464988,0.004067861962598817,0.11811837996719023,1.0292948279790386,0.3085054048262395,-0.010953190440995316,0.052539105616073174,0.9344615451502107,0.4201953682630689,-0.019976802053511444,0.05459635770578867,0.9736279664516136,0.07271191223159036,0.003442664239198273,0.0597314161022212,1.0099249372690835,0.09832536022605133
,0,Massaging,XGBoost,0.35161290322580646,0.35161290322580646,german_baseline,0.745,0.024899799195977488,0.674047619047619,0.017175894092258497,0.6500103295345276,0.01330592683322182,0.7976705218484207,0.006660870031881074,0.8514285714285714,0.03736199094463434,0.8233885320382706,0.020510219060881744,0.8514285714285714,0.03736199094463434,0.5033333333333333,0.012472191289246494,0.4966666666666667,0.012472191289246488,0.14857142857142858,0.03736199094463435,-0.00278135208500514,0.03777670953781564,0.9973668992123415,0.05216294118588921,0.013277900960827793,0.06149240251983018,1.016251617433448,0.0722738931552448,0.0451250503882083,0.06748371948122221,1.103058984359294,0.14735462933153637,-0.045125050388208285,0.06748371948122225,0.9204906204906205,0.12540620704605418,-0.013277900960827791,0.06149240251983018,0.9185513673318552,0.43812302099561645,-0.03248833119049126,0.05068430140742718,0.9575314099100998,0.06616052033111669,0.029201475674518047,0.034917314766515474,1.0596553008963712,0.06918937703933707
,0,FairOversampling,LogReg,0.35161290322580646,0.35161290322580646,german_baseline,0.712,0.036138621999185314,0.7085714285714285,0.024133509977930585,0.705638035831318,0.02296395742246139,0.8498186423505573,0.024314926600748722,0.7171428571428572,0.06978099852468465,0.7752671228142927,0.038453602494778374,0.7171428571428572,0.06978099852468465,0.3,0.06749485577105528,0.7,0.06749485577105531,0.2828571428571428,0.06978099852468465,-0.06293602088496421,0.05985533587722365,0.9066749521243072,0.09936465105691769,-0.0006476964769647874,0.0942384854241939,1.0120902866923405,0.1494004659652171,-0.09628967523704365,0.04987401665661634,0.6922910422910423,0.18154618361505317,0.09628967523704361,0.049874016656616345,1.1458008658008656,0.07867908501196809,0.0006476964769647709,0.09423848542419393,1.0430168408826943,0.3055949813984974,0.029151750470405458,0.0744249061604395,1.0464487757254086,0.11547526142370343,-0.04846868585700422,0.04930652933932331,0.8521906644916915,0.07271866605163607
,0,FairOversampling,XGBoost,0.35161290322580646,0.35161290322580646,german_baseline,0.7310000000000001,0.0312089730686545,0.6764285714285714,0.030280248084127066,0.662081321810765,0.03133140026624591,0.8046828889270309,0.016637607494871285,0.8128571428571428,0.03708787138784905,0.808488762618478,0.024153543501153757,0.8128571428571428,0.03708787138784905,0.4600000000000001,0.03887301263230201,0.54,0.038873012632301994,0.18714285714285714,0.03708787138784906,-0.05710870878378318,0.07942910308783832,0.9248074044026359,0.11010942463807537,-0.04484405025868439,0.09916857478242136,0.9474479201128675,0.11884260743617295,-0.0014213856319119423,0.09670967729660719,1.0292485292485292,0.24316103210057308,0.0014213856319119534,0.09670967729660723,1.0218119247699078,0.17134198111897597,0.04484405025868441,0.09916857478242135,1.2951219512195125,0.6185382061808139,-0.04996412773001675,0.06254909065409088,0.9337218470602204,0.08339756204446955,-0.023132717945298163,0.0782361156869357,0.9883482246806983,0.15373398866095828
,0,FAWOS,LogReg,0.35161290322580646,0.35161290322580646,german_baseline,0.753,0.021118712081942895,0.654047619047619,0.030570909356219905,0.6036153280861802,0.04424996620266275,0.7803686091517539,0.017907642140205595,0.9014285714285715,0.02089819834046827,0.8363258226546348,0.01376677090370237,0.9014285714285715,0.02089819834046827,0.5933333333333334,0.06200358412579424,0.4066666666666666,0.06200358412579427,0.09857142857142856,0.020898198340468275,-0.041138018514650355,0.03900728619719051,0.9497513554967337,0.047645348464328385,0.005588075880758802,0.07665942789906306,1.0068129334790992,0.08497763540389099,-0.06716441453283561,0.12680165704630694,0.902121212121212,0.18860853351171208,0.06716441453283559,0.126801657046307,1.235478377831319,0.44445915151157356,-0.005588075880758808,0.07665942789906306,1.0148242001900538,0.8232330261496024,-0.011840638173555518,0.08231787516959131,0.9867693260837015,0.10886006528134919,-0.030788169326038405,0.047729010114901056,0.9544670728001556,0.07408508023131603
,0,FAWOS,XGBoost,0.35161290322580646,0.35161290322580646,german_baseline,0.751,0.017146428199482262,0.6735714285714287,0.017323780727220215,0.6448029572695461,0.019895048708526476,0.7955738970927735,0.009759106003610159,0.8671428571428571,0.02240626734479734,0.8296947673200783,0.013024768001457323,0.8671428571428571,0.02240626734479734,0.5200000000000001,0.02867441755680876,0.48,0.02867441755680875,0.13285714285714284,0.022406267344797316,-0.06806005048342494,0.034281100357036944,0.9130686477988471,0.04384674784359145,-0.06461961074156194,0.08043113269250037,0.9276155445610816,0.08985892751081377,0.004185288395814701,0.08015644899506395,1.021040581521865,0.15299020482449086,-0.004185288395814712,0.08015644899506391,1.0059969442322383,0.1744140517400849,0.06461961074156196,0.08043113269250035,1.6172711434906557,0.7808671536739311,-0.0738189346583589,0.07315432491272408,0.9062537636208967,0.09268496718893524,-0.030217161172873624,0.022194077516504544,0.9743280630414732,0.04370786395493733
