t,k,method,classifier,nonwhite_recid_rate_target,nonwhite_recid_rate_actual,dataset,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,geometric_mean,geometric_mean_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,true_positive_rate,true_positive_rate_std,false_positive_rate,false_positive_rate_std,true_negative_rate,true_negative_rate_std,false_negative_rate,false_negative_rate_std,spd,spd_std,disparate_impact,disparate_impact_std,eod,eod_std,equal_opportunity_ratio,equal_opportunity_ratio_std,false_positive_rate_difference,false_positive_rate_difference_std,predictive_equality,predictive_equality_std,true_negative_rate_difference,true_negative_rate_difference_std,true_negative_rate_parity,true_negative_rate_parity_std,false_negative_rate_difference,false_negative_rate_difference_std,false_negative_rate_parity,false_negative_rate_parity_std,accuracy_difference,accuracy_difference_std,accuracy_parity,accuracy_parity_std,aod,aod_std,average_odds_ratio,average_odds_ratio_std
,0,Baseline,LogReg,0.4800420168067227,0.4800420168067227,compas_baseline,0.6746605882528213,0.012472970613348268,0.6616871763878638,0.013330528429867771,0.6481935770703331,0.01600092442121098,0.6732305345126636,0.011926086880888528,0.7930853299705758,0.016043354365615964,0.7281304811804357,0.009830394870199457,0.7930853299705758,0.016043354365615964,0.4697109771948481,0.027575824934884995,0.5302890228051519,0.027575824934885026,0.20691467002942412,0.016043354365615964,-0.16638406075261064,0.02451758130793886,0.7804781988873706,0.029968782358988273,-0.10102772693376719,0.05116469363682583,0.8831945412462501,0.056233636108932776,-0.19190764721207895,0.026859936625193523,0.6832120289748902,0.03477455941883147,0.191907647212079,0.026859936625193516,1.4937684374063562,0.10533765025844309,0.1010277269337672,0.051164693636825846,1.7706792497225394,0.5215948403300303,-0.00023375134167720192,0.035199160834510364,1.0009279207679442,0.05085410297664536,-0.14646768707292307,0.02129993399484833,0.78320328511057,0.024386491851230745
,0,Baseline,XGBoost,0.4800420168067227,0.4800420168067227,compas_baseline,0.6617685646811861,0.01279126704050984,0.6514731139358321,0.013607285229416163,0.6428625128733476,0.015262037937100906,0.6706598279062007,0.012471862152277543,0.7557421631192123,0.013402148715827665,0.710571644345351,0.0100357153027422,0.7557421631192123,0.013402148715827665,0.4527959352475482,0.02531998938956372,0.5472040647524519,0.025319989389563737,0.24425783688078767,0.01340214871582767,-0.17258861181947321,0.02072597912418954,0.7648803815955644,0.02456928026885737,-0.11241542946240934,0.04674970610234325,0.8650317126281679,0.053305984029668074,-0.19535900719736093,0.025479697862974323,0.6697758369172315,0.02655629141838075,0.19535900719736093,0.025479697862974323,1.4868017467579828,0.11650125957070952,0.11241542946240932,0.046749706102343254,1.6827200906015183,0.35294984405907986,-0.0006366579218245461,0.03306079325277295,1.0002793264663445,0.05072843300775933,-0.15388721832988517,0.019003502043247772,0.7674037747726997,0.019020806628123346
,0,FairSmote,LogReg,0.4800420168067227,0.4800420168067227,compas_baseline,0.664681954973217,0.00938141572573695,0.662413192454176,0.009135593075361732,0.6617513798254399,0.009161650310536899,0.6987149620055503,0.00926002507179128,0.6853392054211727,0.021134859756616345,0.6917530980014505,0.011322723721227963,0.6853392054211727,0.021134859756616345,0.36051282051282046,0.020512820512820513,0.6394871794871795,0.020512820512820506,0.3146607945788274,0.021134859756616338,0.03680164937665494,0.02648527312100962,1.0728647131856675,0.051666303036228774,0.09986034845095244,0.06616015582229204,1.1668006398291844,0.10769157804521877,0.018041032566547578,0.050154718771391764,1.0657372590478171,0.15098941019735249,-0.018041032566547544,0.05015471877139178,0.9762945133543941,0.07606305265890347,-0.0998603484509525,0.066160155822292,0.7512018443037146,0.17620244196339288,0.045766877015571986,0.055071553528162565,1.0769086963993277,0.08725325239959097,0.058950690508750014,0.0238185365009819,1.1162689494385007,0.051248357641039036
,0,FairSmote,XGBoost,0.4800420168067227,0.4800420168067227,compas_baseline,0.6581658261269911,0.013368807968718305,0.6540814353106791,0.014493562224617895,0.6524540387375443,0.015261645563162844,0.686838211562894,0.015993141896724555,0.6954383048645343,0.015844015901575692,0.6909097826093915,0.010608465482001813,0.6954383048645343,0.015844015901575692,0.38727543424317623,0.030904793819986127,0.6127245657568239,0.030904793819986103,0.3045616951354656,0.01584401590157569,-0.07053851683239484,0.01576961759867603,0.8833674962389306,0.02510742129477535,-0.0034542290918129657,0.031052521167552558,0.9959815914197392,0.044634255449952635,-0.10006520953721332,0.048633436452903585,0.7882081030646502,0.08197790190866296,0.10006520953721329,0.048633436452903585,1.1951331876997184,0.1174467373278843,0.0034542290918129883,0.031052521167552548,1.0167645198113904,0.10295202587153461,0.03280085965139623,0.03360321885131459,1.0537169494667713,0.056375408501970155,-0.05175971931451314,0.019408026007054983,0.8920948472421946,0.03393153852907443
,0,Massaging,LogReg,0.4800420168067227,0.4800420168067227,compas_baseline,0.6637111773034102,0.011870742041426779,0.6547058920572935,0.012624905990557371,0.6480917457264945,0.01433755556437085,0.6758487404166547,0.01167388395024232,0.7458981364719071,0.014291774568197111,0.7090391030099635,0.00959047643927821,0.7458981364719071,0.014291774568197111,0.43648635235732003,0.024978085081597826,0.5635136476426799,0.024978085081597837,0.25410186352809305,0.014291774568197111,0.0662383649997677,0.03244427063160324,1.1193987949814563,0.05951148364468729,0.12364540257157705,0.071233330198714,1.191229700901283,0.11260346080465071,0.05249007743208841,0.03685962833764984,1.142072015934703,0.10790246108224287,-0.052490077432088354,0.036859628337649865,0.9163572162944107,0.055677870580952284,-0.12364540257157705,0.07123333019871401,0.6479663299663299,0.19503357905012683,0.033175319007440064,0.05102595745133503,1.0560557014063587,0.08040754571339845,0.08806774000183273,0.027548634156344835,1.1666508584179929,0.04586834374720883
,0,Massaging,XGBoost,0.4800420168067227,0.4800420168067227,compas_baseline,0.6623233497019905,0.013727999133153545,0.6537751043832482,0.01448965749115219,0.6478428378602417,0.015716277064545318,0.6760662601192872,0.013450382193866078,0.7403518157616518,0.01306936831230117,0.7066696112482995,0.010966751318522594,0.7403518157616518,0.01306936831230117,0.43280160699515535,0.02504046249681575,0.5671983930048446,0.025040462496815744,0.2596481842383481,0.013069368312301138,-0.1132126047975198,0.039373249372190784,0.8341524860180332,0.05103638160793959,-0.06065622669649513,0.059768689591661275,0.9244479706530528,0.07235344970087451,-0.12365455799937748,0.024349927963557325,0.7635107305671348,0.03365541093928563,0.12365455799937748,0.024349927963557366,1.2622824707720215,0.07030484990121108,0.060656226696495154,0.059768689591661255,1.312481504431259,0.3423945676488768,0.002060082688880005,0.029025625865681835,1.0040752587185025,0.04454063038613174,-0.09215539234793631,0.037884970636706636,0.8439793506100937,0.04772709891905277
,0,FairOversampling,LogReg,0.4800420168067227,0.4800420168067227,compas_baseline,0.6631575456818176,0.010357485649754498,0.6614122294064124,0.010634841056950681,0.6607969729995781,0.011095764690898645,0.6994536494234757,0.011853861883458734,0.679030532309221,0.022366976599676163,0.6888056997131246,0.011633475389143525,0.679030532309221,0.022366976599676163,0.356206073496396,0.026684675722694732,0.6437939265036039,0.026684675722694725,0.32096946769077916,0.02236697659967615,0.029220800336427887,0.022818234730224436,1.0574176860817874,0.04389318821765859,0.08975255914853228,0.06460200885201496,1.1503209383209383,0.10643779944019978,0.01337734090725532,0.0380589351842174,1.0498512824302442,0.12186729265085194,-0.013377340907255241,0.03805893518421737,0.9823761314176851,0.055827043268729344,-0.08975255914853231,0.06460200885201497,0.7765753793056634,0.16865533468278537,0.042836874057158525,0.05155633974570143,1.0721057688379971,0.08165215920026088,0.05156495002789381,0.015835076741640662,1.1000861103755912,0.016140404680606003
,0,FairOversampling,XGBoost,0.4800420168067227,0.4800420168067227,compas_baseline,0.6558096237707888,0.014433332247154047,0.6509691466357251,0.014329011011326161,0.6488030714465163,0.014421272568104205,0.6820508027138505,0.013240391664925428,0.6999824856382232,0.024707555123986907,0.6906795790870109,0.01514995242824055,0.6999824856382232,0.024707555123986907,0.39804419236677296,0.02492120878194335,0.601955807633227,0.02492120878194333,0.30001751436177665,0.024707555123986938,-0.04767731532531545,0.014473997817606953,0.9198456407648017,0.024090162550130644,0.00702596434140057,0.03461172718738319,1.0114387859226042,0.050120855111074544,-0.06115474063049756,0.024375070614645312,0.8613453640117846,0.055146026011888366,0.06115474063049755,0.024375070614645295,1.1097926401120446,0.044427677298675035,-0.007025964341400593,0.03461172718738318,0.9840662849695108,0.1142362204825653,0.02120219167096571,0.02886456834884429,1.0342909482682283,0.046118494477216734,-0.027064388144548496,0.01158092230825486,0.9363920749671945,0.021221751660968995
,0,FAWOS,LogReg,0.4800420168067227,0.4800420168067227,compas_baseline,0.6573329757795777,0.01231522804124959,0.6337344451482474,0.013043803289224071,0.5866249976420518,0.017638279462946452,0.6374629415582013,0.00925022718276878,0.8728282191396944,0.01287776230963769,0.736752357054057,0.00874887604881126,0.8728282191396944,0.01287776230963769,0.6053593288431998,0.023275767329033338,0.3946406711568001,0.023275767329033335,0.12717178086030545,0.012877762309637684,-0.004264198551110887,0.01786131474860713,0.9945704636417461,0.02361054039777195,0.021257315888188355,0.03542484472274842,1.0255128870314796,0.04102017562038429,0.01583456811451167,0.027118235424174363,1.0296821792549622,0.047680784550952246,-0.015834568114511626,0.027118235424174356,0.9668718924437947,0.06429456213734032,-0.021257315888188376,0.035424844722748386,0.8773388415945311,0.269680414779861,-0.03575798955019891,0.025828156558631035,0.9485873909337943,0.035071491522817674,0.018545942001350013,0.016153720702072237,1.0275975331432208,0.021614049967702
,0,FAWOS,XGBoost,0.4800420168067227,0.4800420168067227,compas_baseline,0.6610762368043922,0.012505044700421264,0.6457592485075299,0.013391442765715317,0.626646944255662,0.01607379356189809,0.657286914094114,0.011088976244085176,0.8009113836982689,0.010658254631453146,0.7219689054222792,0.009013100990190811,0.8009113836982689,0.010658254631453146,0.5093928866832094,0.02408006134275554,0.4906071133167907,0.02408006134275555,0.19908861630173105,0.010658254631453153,-0.07286048024097622,0.027415448421241866,0.8993104940662485,0.034724361027698256,-0.01749079158475131,0.04840884123957826,0.980133617946589,0.05839801224431636,-0.08978277942239939,0.019929946121899793,0.8440434533067048,0.02952381379278373,0.08978277942239946,0.019929946121899807,1.2138672055838806,0.06040916753227266,0.017490791584751326,0.04840884123957829,1.128856299537278,0.2889298875107768,0.0007800920775641984,0.029276421919026855,1.0020865195943593,0.04448797759985617,-0.05363678550357535,0.026038285467651218,0.912088535626647,0.031074706419356043
