t,k,classifier,women_rejection_rate_target,women_rejection_rate_actual,dataset,method,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,geometric_mean,geometric_mean_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,true_positive_rate,true_positive_rate_std,false_positive_rate,false_positive_rate_std,true_negative_rate,true_negative_rate_std,false_negative_rate,false_negative_rate_std,spd,spd_std,disparate_impact,disparate_impact_std,eod,eod_std,equal_opportunity_ratio,equal_opportunity_ratio_std,false_positive_rate_difference,false_positive_rate_difference_std,predictive_equality,predictive_equality_std,true_negative_rate_difference,true_negative_rate_difference_std,true_negative_rate_parity,true_negative_rate_parity_std,false_negative_rate_difference,false_negative_rate_difference_std,false_negative_rate_parity,false_negative_rate_parity_std,accuracy_difference,accuracy_difference_std,accuracy_parity,accuracy_parity_std,aod,aod_std,average_odds_ratio,average_odds_ratio_std
0.0,264,LogReg,0.65,0.6498257839721254,german_t0.0_k264,Baseline,0.7966591379634858,0.01538704901665112,0.7928416752570453,0.015269428300794556,0.791981159634495,0.015280841877023412,0.8089340675871742,0.013235945156412703,0.8285879017151021,0.01841526231368393,0.8185764553441194,0.014175998379325658,0.8285879017151021,0.01841526231368393,0.24290455120101137,0.017275295202276986,0.7570954487989885,0.017275295202276983,0.1714120982848979,0.01841526231368396,-0.5124975300789618,0.049509737039530544,0.3605265947191138,0.04430846350351678,-0.19894924858339494,0.07940094415859299,0.778479834099059,0.08404959068738252,-0.5032852609694716,0.05679839269751145,0.12730815287337027,0.04544263202722832,0.5032852609694716,0.056798392697511434,2.2108861668391078,0.26778892142842825,0.1989492485833949,0.07940094415859296,3.1276414793559697,1.2552658144097268,0.08535188959524057,0.04517552992817242,1.115205696401143,0.06445320339376955,-0.3511172547764332,0.04404252199043719,0.4528939934862146,0.05383207914229277
0.0,264,XGBoost,0.65,0.6498257839721254,german_t0.0_k264,Baseline,0.8037894472677081,0.029484393136544843,0.7974855020628843,0.029747162163726932,0.7951845637464323,0.030115332891938306,0.8030573934912528,0.024540477097355882,0.8557010926213436,0.03180639644428075,0.8284093959968797,0.026157098956859293,0.8557010926213436,0.03180639644428075,0.2607300884955752,0.03556996504999799,0.7392699115044248,0.03556996504999798,0.14429890737865633,0.031806396444280766,-0.4046259881636858,0.04766651052704865,0.47797722078085947,0.05221308149135077,-0.06959940872135997,0.04341619074199763,0.920817579764838,0.05022464581701295,-0.37317051464419887,0.12385799091011408,0.2828471280645194,0.10599693317192521,0.3731705146441989,0.12385799091011407,1.8494869498069497,0.44389580339204054,0.06959940872135993,0.04341619074199766,1.6386652798421093,0.4229255925794763,0.07531444132639235,0.04812797257503314,1.1018485719660833,0.06751224220660663,-0.22138496168277944,0.07603720811091554,0.6018323539146787,0.06944116445825899
0.0,264,KNN,0.65,0.6498257839721254,german_t0.0_k264,Baseline,0.7634481460568417,0.0068324796112409205,0.7534328677951203,0.006815751616968043,0.7470731018907772,0.008419125690674182,0.7558339016919063,0.011671180521282147,0.8472418417849308,0.026400887542518073,0.7985444408766507,0.007841305687371373,0.8472418417849308,0.026400887542518073,0.3403761061946903,0.028853663044647485,0.6596238938053097,0.028853663044647492,0.15275815821506927,0.026400887542518053,-0.4484489833178139,0.042180581060825235,0.4558614960783361,0.053168621897185804,-0.0853959103227396,0.08139658480927861,0.9022467776903442,0.09280167926366553,-0.5462052011525695,0.049858376129300934,0.2216299292395844,0.05262168869527049,0.5462052011525695,0.04985837612930096,2.879034419034419,0.3830484531516247,0.08539591032273959,0.08139658480927861,1.6927335672457624,0.6865012432617065,0.11105139666849762,0.0356176006786698,1.156917089215549,0.053444023113861254,-0.3158005557376546,0.04846022266835074,0.5619383534649642,0.06287541452001949
0.0,264,MLP,0.65,0.6498257839721254,german_t0.0_k264,Baseline,0.7823985193550411,0.03474834384616437,0.778701105151331,0.03329290247504515,0.7777156304423984,0.03284710993838682,0.7974887850589182,0.022223899665971426,0.8127909587223838,0.0493382500404366,0.8047508096483484,0.03463663291349378,0.8127909587223838,0.0493382500404366,0.25538874841972187,0.024185195206411908,0.7446112515802781,0.02418519520641187,0.18720904127761623,0.049338250040436606,-0.3949661789551472,0.04890546843957604,0.4705122651417394,0.03841477332056893,-0.08611308203991133,0.05996349718770878,0.9022230215279681,0.0696078003338084,-0.36621949885107774,0.08514181730465206,0.2743251823251823,0.08313262534689293,0.3662194988510778,0.08514181730465205,1.766964498111557,0.2549398060050056,0.08611308203991132,0.05996349718770878,1.7337938484279944,0.5159133056769281,0.08278267262419833,0.05692906199334261,1.1179628591918336,0.0874161495312942,-0.22616629044549458,0.04565818358961521,0.5882741019265753,0.052478732200420763
0.0,264,SVC,0.65,0.6498257839721254,german_t0.0_k264,Baseline,0.7927065687935253,0.015543387885343209,0.7813798958949956,0.014114135668939364,0.7739596935278604,0.012701018379596056,0.7723812399400085,0.00845635737812521,0.8871908916635689,0.03081611020551053,0.8255772452076208,0.015394931381640343,0.8871908916635689,0.03081611020551053,0.3244310998735777,0.014646032703906173,0.6755689001264222,0.014646032703906136,0.11280910833643117,0.030816110205510547,-0.45672545008640564,0.04817785422140198,0.4596968920597397,0.03683403252206108,-0.09968021680216801,0.028100715962167004,0.8919028664145797,0.02746433831870021,-0.49872867199182985,0.08340431094470338,0.24257095190428526,0.059447586846365245,0.49872867199182985,0.0834043109447034,2.529870051870052,0.496327568537722,0.09968021680216801,0.028100715962166987,2.5750174216027872,1.033381911218963,0.07659399040422912,0.028067169995586602,1.1021579406177389,0.03901895523825599,-0.29920444439699895,0.052232547791036664,0.5672369091594325,0.040957163988729756
0.0,695,LogReg,0.8,0.8,german_t0.0_k695,Baseline,0.840117994100295,0.017037792422647403,0.8350179468772433,0.017720864733007276,0.8344222061451904,0.017958186563734452,0.8070411732403034,0.021579999835371323,0.8057142857142857,0.024494897427831824,0.8062491088468551,0.020892885542117906,0.8057142857142857,0.024494897427831824,0.135678391959799,0.016817286965509055,0.864321608040201,0.01681728696550909,0.1942857142857143,0.02449489742783178,-0.6414308324794751,0.020305369610272076,0.19091198566201675,0.007638272411617372,-0.23670534614437058,0.06096200057962299,0.7300673641051046,0.0639011247015989,-0.5508337419636047,0.05282895923929053,0.05146550547526109,0.01836389478018279,0.5508337419636047,0.05282895923929054,2.3546755876263545,0.31189488510758023,0.23670534614437053,0.06096200057962294,3.0577550219587524,0.9606609419619127,0.15564600033266238,0.035625509077405616,1.210180784492845,0.05354402896045146,-0.39376954405398756,0.029843802122836393,0.3907664347901828,0.024167602767548684
0.0,695,XGBoost,0.8,0.8,german_t0.0_k695,Baseline,0.8507374631268435,0.016328439531679128,0.8497810480976309,0.018757148163994826,0.8494766962304482,0.018685329977760456,0.8043437827766965,0.018013910495156948,0.8442857142857143,0.03763411392091283,0.8233933165575348,0.021313976228841288,0.8442857142857143,0.03763411392091283,0.14472361809045226,0.016329725436454192,0.8552763819095478,0.01632972543645421,0.15571428571428575,0.037634113920912836,-0.5689681269788547,0.037779981161295106,0.2624271916893727,0.024905437282496345,-0.08890465631929048,0.11215026346150851,0.9008305829272263,0.12522767502159227,-0.45534563834335007,0.07746946695503817,0.1143069302819942,0.029179647274951717,0.45534563834334996,0.07746946695503819,1.9830625420128523,0.32409772267138,0.08890465631929045,0.11215026346150851,1.9126170238975118,1.165263473273198,0.146580818769665,0.0540391546162057,1.1956717613388412,0.08011644882852996,-0.27212514733132026,0.05737065475288917,0.5075687566046103,0.05536510156583138
0.0,695,KNN,0.8,0.8,german_t0.0_k695,Baseline,0.8253687315634218,0.019244255374985364,0.8288083273510409,0.016646528832185963,0.8283584223608431,0.016828544543856908,0.7590645806855127,0.03299552817212076,0.8485714285714285,0.01228903609577518,0.8008954288180391,0.018370560651434928,0.8485714285714285,0.01228903609577518,0.19095477386934673,0.03318105330496317,0.8090452261306533,0.03318105330496317,0.1514285714285714,0.012289036095775186,-0.5984051263964976,0.030413489008003267,0.26792399763052727,0.015574266819125935,-0.08076176398127619,0.04326488851484112,0.907753684459836,0.04898010853138104,-0.5997117480155236,0.11208331324359139,0.11317892545323978,0.00994309252200937,0.5997117480155236,0.11208331324359141,3.178801821453219,0.8848578842320957,0.08076176398127617,0.04326488851484114,1.653188072090511,0.3693863010666457,0.17712845095395474,0.027765000175615905,1.2482434145930217,0.049318978755138236,-0.3402367559984,0.05807006749930494,0.5104663049565379,0.027929339419969126
0.0,695,MLP,0.8,0.8,german_t0.0_k695,Baseline,0.8412979351032448,0.02295584242872418,0.8372936109117013,0.022655616365736177,0.8368777874103991,0.02261363634073505,0.8047119424420129,0.033404391444092546,0.8142857142857143,0.025152595516655725,0.8092412613586308,0.02625533499955933,0.8142857142857143,0.025152595516655725,0.13969849246231156,0.02704246039612806,0.8603015075376884,0.027042460396128048,0.18571428571428572,0.025152595516655725,-0.563104458340075,0.050520171490627416,0.2525968715308993,0.03319783941286937,-0.11692485833949248,0.0945905006681998,0.8650106792776462,0.1082663934016908,-0.44851497472778934,0.08356442147760901,0.10674995124073572,0.01884138865415099,0.44851497472778945,0.08356442147760901,1.9675367147030662,0.3638825417159607,0.11692485833949251,0.09459050066819982,1.9325393937868451,0.8250232761010728,0.15263975228987794,0.02615458510861304,1.2049891771871575,0.041555587482981445,-0.282719916533641,0.0798099532109178,0.48588031525919106,0.06124198428266761
0.0,695,SVC,0.8,0.8,german_t0.0_k695,Baseline,0.8483775811209439,0.02527939266740833,0.8545477386934672,0.028329552699727537,0.8535279486475755,0.027916742980237656,0.7755759240638108,0.021824418240184877,0.89,0.04836088822803071,0.8285338512938945,0.03160727366963052,0.89,0.04836088822803071,0.18090452261306533,0.016817286965509055,0.8190954773869347,0.01681728696550905,0.11000000000000001,0.04836088822803074,-0.6383242799228094,0.021879721589588383,0.25083488842854945,0.01515709487398373,-0.1112892338014289,0.056041212094764516,0.8780952465117977,0.06342452391997895,-0.6053665727864812,0.09423815869999022,0.09884187047263118,0.018114644290964044,0.6053665727864812,0.0942381586999902,3.058263888888889,0.8122079320137673,0.11128923380142894,0.05604121209476456,2.9797522260936895,1.8737031908220925,0.1522627625922534,0.044304447103143324,1.2050486747897746,0.06914859935455922,-0.35832790329395514,0.04995201194873915,0.4884685584922144,0.031002467646203218
