t,k,classifier,nonwhite_recid_rate_target,nonwhite_recid_rate_actual,dataset,method,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,geometric_mean,geometric_mean_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,true_positive_rate,true_positive_rate_std,false_positive_rate,false_positive_rate_std,true_negative_rate,true_negative_rate_std,false_negative_rate,false_negative_rate_std,spd,spd_std,disparate_impact,disparate_impact_std,eod,eod_std,equal_opportunity_ratio,equal_opportunity_ratio_std,false_positive_rate_difference,false_positive_rate_difference_std,predictive_equality,predictive_equality_std,true_negative_rate_difference,true_negative_rate_difference_std,true_negative_rate_parity,true_negative_rate_parity_std,false_negative_rate_difference,false_negative_rate_difference_std,false_negative_rate_parity,false_negative_rate_parity_std,accuracy_difference,accuracy_difference_std,accuracy_parity,accuracy_parity_std,aod,aod_std,average_odds_ratio,average_odds_ratio_std
,0,LogReg,0.4800420168067227,0.4800420168067227,compas_baseline,Baseline,0.6747991883914215,0.012685732853064558,0.66184102254171,0.013559182462364447,0.6483785053182155,0.01625409096900061,0.6733794158060435,0.012128939250718803,0.7930853299705758,0.016043354365615964,0.7282169294940848,0.009962001157047798,0.7930853299705758,0.016043354365615964,0.46940328488715577,0.027878217414565257,0.5305967151128442,0.02787821741456528,0.20691467002942412,0.016043354365615964,-0.16659414478622409,0.024433187721347872,0.7801963648422772,0.029879283576635465,-0.10102772693376719,0.05116469363682583,0.8831945412462501,0.056233636108932776,-0.19234528397356693,0.027047108451489103,0.6824645608778355,0.03542771844422553,0.19234528397356696,0.027047108451489096,1.4948242360934458,0.10530777056885963,0.1010277269337672,0.051164693636825846,1.7706792497225394,0.5215948403300303,-2.3667308063757276e-05,0.035342867121703855,1.001237684313002,0.05106261560968046,-0.14668650545366707,0.0211953801572745,0.7828295510620428,0.024350985250157664
,0,XGBoost,0.4800420168067227,0.4800420168067227,compas_baseline,Baseline,0.6617685646811861,0.01279126704050984,0.6514731139358321,0.013607285229416163,0.6428625128733476,0.015262037937100906,0.6706598279062007,0.012471862152277543,0.7557421631192123,0.013402148715827665,0.710571644345351,0.0100357153027422,0.7557421631192123,0.013402148715827665,0.4527959352475482,0.02531998938956372,0.5472040647524519,0.025319989389563737,0.24425783688078767,0.01340214871582767,-0.17258861181947321,0.02072597912418954,0.7648803815955644,0.02456928026885737,-0.11241542946240934,0.04674970610234325,0.8650317126281679,0.053305984029668074,-0.19535900719736093,0.025479697862974323,0.6697758369172315,0.02655629141838075,0.19535900719736093,0.025479697862974323,1.4868017467579828,0.11650125957070952,0.11241542946240932,0.046749706102343254,1.6827200906015183,0.35294984405907986,-0.0006366579218245461,0.03306079325277295,1.0002793264663445,0.05072843300775933,-0.15388721832988517,0.019003502043247772,0.7674037747726997,0.019020806628123346
,0,KNN,0.4800420168067227,0.4800420168067227,compas_baseline,Baseline,0.6257273383486975,0.011298809991903214,0.6190827136022798,0.011662531417605988,0.6151796405406412,0.012286731944233237,0.6513261521231306,0.010906509720811157,0.6863473957736252,0.017471174322109675,0.6682456387666316,0.01076385003124266,0.6863473957736252,0.017471174322109675,0.44818196856906534,0.022861461370832333,0.5518180314309347,0.02286146137083237,0.31365260422637475,0.017471174322109644,-0.13223431123977086,0.017271874854610604,0.801670291413904,0.023943569193952314,-0.08255349919779453,0.03803536413831198,0.888592222324759,0.050365678322798015,-0.15334341184387063,0.03997204158476746,0.7275667735841364,0.05323496388166853,0.15334341184387068,0.03997204158476744,1.3563582717108518,0.12106982590647956,0.08255349919779449,0.03803536413831199,1.3191777468386001,0.15502849016128975,0.005275694799304631,0.03222111225326779,1.0097839133585413,0.051823306118719346,-0.11794845552083259,0.017527593826901614,0.8080794979544477,0.02300027814550078
,0,MLP,0.4800420168067227,0.4800420168067227,compas_baseline,Baseline,0.6725799521916026,0.01090051579441209,0.66210052950164,0.01016524010286429,0.6532551302623387,0.009605115158374518,0.678357125961519,0.007701754781203778,0.768363649101354,0.024215094750681683,0.7203903347752317,0.012164316571379683,0.768363649101354,0.024215094750681683,0.444162590098074,0.01812268930505024,0.5558374099019261,0.018122689305050253,0.231636350898646,0.024215094750681673,-0.21921894215934845,0.025223696123675,0.714373331252799,0.029719491274747264,-0.14172372494520147,0.04577131507116875,0.8353381402906453,0.0505895749189667,-0.26204053370599045,0.020508989849413375,0.5832405644950576,0.022637070049691226,0.2620405337059904,0.02050898984941337,1.7112141384125548,0.09782556656430101,0.14172372494520147,0.04577131507116876,2.0452537551047354,0.4421878191891604,0.010194815196954532,0.027507218203009574,1.0160205411165413,0.041786212169323586,-0.20188212932559596,0.02409209748581206,0.7092893523928515,0.0263074388321257
,0,SVC,0.4800420168067227,0.4800420168067227,compas_baseline,Baseline,0.6743829073926162,0.011218591517454132,0.6598350948657664,0.011485803058860941,0.6429929989171609,0.012858740266030491,0.6687585979479602,0.009124844834718471,0.8072216490249277,0.01578313401641306,0.7314216170266412,0.009692957304851374,0.8072216490249277,0.01578313401641306,0.48755145929339483,0.019672615281865032,0.5124485407066053,0.019672615281865008,0.1927783509750723,0.015783134016413056,-0.20110895274606788,0.02776089201681352,0.7478694669062603,0.030116307748998653,-0.13114862269224684,0.04068660640199907,0.8531420590282434,0.04361153194829009,-0.23428700869160496,0.029184943284068593,0.6421542763725243,0.023462678023231764,0.23428700869160496,0.029184943284068576,1.6922686068186188,0.1636381854328227,0.13114862269224686,0.04068660640199908,2.255719926340616,0.527501752058046,-0.0025078300159167453,0.021280977591782498,0.9967897602191249,0.0313790198666448,-0.18271781569192588,0.028195442522031905,0.7476481677003838,0.028479023897432957
0.0,1428,LogReg,0.6,0.6000323206205559,compas_t0.0_k1428,Baseline,0.7261069340016708,0.006892762840373469,0.7311549288598469,0.007574431626482513,0.7284643652695503,0.007074306096964651,0.6704840808489226,0.0057932169659986,0.7920806424904785,0.020411762566321885,0.7260971405977903,0.00954405099122128,0.7920806424904785,0.020411762566321885,0.3297707847707848,0.0119694731480037,0.6702292152292152,0.011969473148003703,0.20791935750952145,0.020411762566321903,-0.355958206044623,0.025667274979790364,0.5534232449458159,0.027781418673508033,-0.1521338666305109,0.029878353015511845,0.8286575491795729,0.032862995644947136,-0.41284278538932295,0.03821179666415683,0.3731416510053255,0.0370787415345945,0.41284278538932295,0.03821179666415686,2.219057385866914,0.1962659753569368,0.15213386663051093,0.029878353015511845,2.407044983217232,0.4676712153149224,0.07447668140559745,0.019617543922974424,1.1112423134757166,0.03072638306896953,-0.2824883260099169,0.029152023292125573,0.6008996000924492,0.029419478136115517
0.0,1428,XGBoost,0.6,0.6000323206205559,compas_t0.0_k1428,Baseline,0.7210151446993551,0.005958070632232373,0.7239853808465188,0.006568817897804841,0.7227623307785829,0.006412691516310693,0.6738752500514243,0.008344692218125232,0.7597873438037372,0.02577082809585944,0.7139335732360392,0.009672346572722949,0.7597873438037372,0.02577082809585944,0.31181658211069974,0.02003859624283586,0.6881834178893003,0.020038596242835847,0.24021265619626275,0.025770828095859417,-0.2946240425127723,0.022485881375840358,0.5951783097102841,0.033413911759223994,-0.11240187105958921,0.032717904971888416,0.864474601964665,0.04022314252780118,-0.3271530410575756,0.04133311207444328,0.42893743248735616,0.056381564749633836,0.3271530410575756,0.04133311207444329,1.770785886471923,0.1331506852549368,0.11240187105958918,0.032717904971888416,1.664797425340709,0.18694646493702896,0.06851146946420013,0.026580618136873502,1.1028834858878969,0.04145843975602872,-0.2197774560585824,0.023947782256923174,0.6467060172260106,0.03718295340577858
0.0,1428,KNN,0.6,0.6000323206205559,compas_t0.0_k1428,Baseline,0.6918555737634684,0.008811738872953924,0.6904702034812932,0.009194357086766894,0.6901658652747663,0.009343136607192281,0.6609196251293589,0.009060080426947264,0.6737357815226667,0.01781207370109976,0.667168475159309,0.011423751406893855,0.6737357815226667,0.01781207370109976,0.2927953745600805,0.011250123980891492,0.7072046254399196,0.0112501239808915,0.3262642184773332,0.01781207370109977,-0.25482554571284444,0.032393211043133974,0.6092045264820998,0.035353976946922314,-0.08979007072966805,0.06826425216086757,0.8815884640617494,0.08682141052959166,-0.29501852254015376,0.019477671893106636,0.4403817948055907,0.028445732342803662,0.2950185225401538,0.019477671893106636,1.6249792584876215,0.05604036826554522,0.08979007072966805,0.06826425216086754,1.3864749781297439,0.33888063510749566,0.08811442706855492,0.04156516318514535,1.14290900549446,0.06977901540394141,-0.19240429663491093,0.03320245566963215,0.66098512943367,0.03873889435714543
0.0,1428,MLP,0.6,0.6000323206205559,compas_t0.0_k1428,Baseline,0.7300410481331533,0.008601986966712707,0.7322081882544756,0.010497836540190724,0.7310117936815471,0.00972600564161967,0.6865122413358147,0.009803077437692629,0.7582760136038825,0.041501817403999254,0.7198778082114372,0.016389238675061597,0.7582760136038825,0.041501817403999254,0.29385963709493124,0.02591024744507307,0.7061403629050689,0.025910247445073056,0.24172398639611753,0.041501817403999254,-0.3159911662488456,0.025565524653386604,0.5684407381865791,0.037305833497340075,-0.12345016157096696,0.027944774013565234,0.851312477320381,0.037145775240862954,-0.3549376340612998,0.03977577694250872,0.3839149359721434,0.05161171956079897,0.35493763406129986,0.03977577694250875,1.848214411109351,0.1578885208795971,0.12345016157096693,0.027944774013565245,1.7537069231685174,0.13317610349720663,0.07884020749339167,0.01562846537149378,1.1173523522113264,0.024495535217303358,-0.23919389781613337,0.026934943655557847,0.6176137066462623,0.040793301826937856
0.0,1428,SVC,0.6,0.6000323206205559,compas_t0.0_k1428,Baseline,0.7274956890088469,0.009216095904676746,0.7337311528608538,0.009699254959072574,0.7297369373589205,0.009199722956977288,0.6673965585231395,0.008096590051549302,0.8089861413631905,0.02025576856090147,0.7312961286433872,0.010835803699417427,0.8089861413631905,0.02025576856090147,0.3415238356414827,0.012685562588584137,0.6584761643585173,0.01268556258858417,0.19101385863680947,0.02025576856090146,-0.3328268424488741,0.01929797994765603,0.5810376438165404,0.021119118590566036,-0.12183083632748062,0.03151521308645353,0.8626811898603599,0.03422531124321269,-0.3940908963656618,0.03270775282428065,0.39840750676962605,0.03325706398800526,0.39409089636566175,0.03270775282428066,2.1501042759427587,0.17019633390166522,0.12183083632748062,0.031515213086453546,2.1440055482479723,0.5129598003068193,0.07641628916336718,0.024598207021352046,1.1143798297713827,0.03830696886215071,-0.2579608663465712,0.0223670498530539,0.6305443483149931,0.02250830649358503
