dataset,method,classifier,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,disparate_impact_mean,disparate_impact_std,spd_mean,spd_std,eod_mean,eod_std,aod_mean,aod_std
Ricci,Baseline,LogisticRegression,0.8115942028985508,0.12245626424141752,0.8116550116550115,0.12310233301483317,0.2894444444444445,0.11556681268894689,-0.5092132867132867,0.11689367255261075,-0.33452380952380956,0.2258267752643691,-0.3238095238095239,0.21252084064804222
Ricci,Baseline,SVC,0.9144927536231885,0.03971318617360805,0.914918414918415,0.040560026654929957,0.4401010101010101,0.13196790908266387,-0.3692132867132867,0.10829929961659304,-0.07976190476190477,0.16918170403324304,-0.12142857142857144,0.11055095479208751
Ricci,FairSmote,LogisticRegression,0.8297101449275364,0.04966544235855842,0.8349067599067599,0.052011787216186024,0.8846079846079847,0.41281096267593886,-0.12536907536907535,0.2881199513728158,0.10214285714285713,0.10496841118612196,0.07615079365079365,0.2232082150849988
Ricci,FairSmote,SVC,0.9228260869565217,0.051451826840183124,0.9255244755244755,0.05091339464974974,0.5279545454545455,0.18928245203478636,-0.3393648018648019,0.17205684063304877,0.02857142857142858,0.05714285714285716,-0.07559523809523809,0.10835295479031194
Ricci,Massaging,LogisticRegression,0.6851449275362318,0.09241900692952694,0.6875874125874126,0.09398312620438676,1.0312842712842714,0.29020588580716017,0.0036266511266511035,0.16025477379023656,0.08238095238095237,0.27735939012861455,0.1325396825396825,0.17929171311731673
Ricci,Massaging,SVC,0.8626811594202899,0.09403831776988415,0.8626456876456878,0.09553264050945719,0.4265800865800866,0.123781077604121,-0.37716200466200467,0.13206510223798068,-0.13119047619047622,0.1577197204032572,-0.1554761904761905,0.15731384996970307
Ricci,FairOversampling,LogisticRegression,0.78731884057971,0.0568344194017451,0.7950466200466201,0.05607641442446292,0.8303030303030303,0.3962403663378062,-0.1618842268842269,0.30285836384817294,0.015476190476190466,0.15737717018724517,0.010595238095238069,0.2696995893225009
Ricci,FairOversampling,SVC,0.8891304347826086,0.05944016988048678,0.8934731934731935,0.05820205217163197,0.5565656565656565,0.16048340402373132,-0.33252719502719497,0.16305133706600994,0.02857142857142858,0.05714285714285716,-0.09186507936507937,0.135275560240151
Ricci,FAWOS,LogisticRegression,0.7706521739130434,0.0647791232081192,0.7811771561771561,0.05994008306507858,0.8307070707070707,0.29552220584161754,-0.1437898212898213,0.23490844664711924,0.05357142857142858,0.0658538889806635,0.03297619047619048,0.17898824370114355
Ricci,FAWOS,SVC,0.872463768115942,0.028726195134659117,0.8782051282051281,0.028595779516917295,0.5107162534435261,0.13723887523358824,-0.3904118104118104,0.15555901243318915,0.0,0.0,-0.16365079365079366,0.13398898696108627
Ricci,HeterogeneousFOS,LogisticRegression,0.863768115942029,0.0648277409820839,0.8682400932400933,0.0643485426791528,0.849119769119769,0.40175926452667826,-0.12759129759129756,0.24518211982165267,0.08214285714285714,0.11271238455756785,0.10186507936507935,0.12886660218606724
Ricci,HeterogeneousFOS,SVC,0.9315217391304348,0.035599554665410545,0.9338578088578089,0.03564128480973427,0.4954545454545454,0.14682435800250124,-0.3593648018648018,0.14914539533428073,0.02857142857142858,0.05714285714285716,-0.09226190476190475,0.10357827016264859
Ricci,FairwayRemover,LogisticRegression,0.5253623188405798,0.04036238388879312,0.5073426573426574,0.032384053392241194,,,-0.044700854700854706,0.09406044066794793,-0.044047619047619044,0.09461103088716917,-0.04662698412698413,0.08732863938733752
Ricci,FairwayRemover,SVC,0.6521739130434783,0.1228308964044926,0.6406759906759907,0.12719863447796537,0.37666666666666665,0.3954743986657038,-0.17647435897435898,0.11463495788815788,-0.23095238095238094,0.12060881087537087,-0.1413095238095238,0.10513839276236372
Ricci,GeometricFairnessRepair,LogisticRegression,0.7869565217391304,0.0909745019684175,0.7892191142191142,0.09128794853935819,0.2534848484848485,0.14269445675631803,-0.5898951048951048,0.18975643129915606,-0.42976190476190473,0.24253012529993986,-0.44226190476190486,0.27518804125522356
Ricci,GeometricFairnessRepair,SVC,0.8300724637681158,0.060327991004464405,0.8263986013986016,0.057923297321465506,1.12010101010101,0.440462001560743,0.02341103341103339,0.15183458368542047,0.34071428571428575,0.07598334941126973,0.25587301587301586,0.09596462300625515
Ricci,LearningFairRepresentations,LogisticRegression,0.7536231884057971,0.11446064491979212,0.752039627039627,0.11428272335634837,0.18155555555555553,0.17929298733816104,-0.5738461538461539,0.25374330991009175,-0.5333333333333334,0.3358240279934981,-0.4905555555555556,0.3280629644473379
Ricci,LearningFairRepresentations,SVC,0.6851449275362318,0.1514579430291335,0.6755244755244755,0.15491365182809116,0.4188888888888889,0.38540663150098786,-0.1857692307692308,0.17408556995720276,-0.18214285714285713,0.28758317341710565,-0.10496031746031745,0.13754222421377724
Ricci,ReweighingClassifier,LogisticRegression,0.7956521739130434,0.07049313203083027,0.8000582750582751,0.0735615919241332,0.9637518037518037,0.4682238790395733,-0.06355089355089354,0.2906859106112684,0.10047619047619047,0.16006234612964437,0.11698412698412701,0.24112325852134137
